Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
Parowanie = 0.5; Alfa = 3; Beta = 2; Stala = 5; 
5;0.21;0.15;15.31;15.00;
6;0.33;0.04;4.24;5.00;
7;0.47;0.39;38.89;35.00;
8;0.65;0.09;8.70;10.00;
9;0.86;0.43;42.86;45.00;
10;1.13;0.60;59.91;127.00;
11;1.42;0.52;51.92;81.00;
12;1.79;0.31;31.07;55.00;
13;2.19;0.47;46.55;81.00;
5;0.21;0.07;7.50;15.00;
6;0.33;0.11;11.27;40.00;
7;0.47;0.04;4.31;25.00;
8;0.65;0.10;10.27;95.00;
9;0.87;0.05;5.45;75.00;
10;1.12;0.02;2.27;45.00;
11;1.42;0.09;9.37;260.00;
12;1.77;0.07;7.17;270.00;
13;2.19;0.08;8.12;405.00;
17;7.04;2.14;214.29;165.00;
34;55.14;0.92;91.51;1176.80;
65;377.34;1.11;110.69;2035.60;
100;1102.86;1.30;130.18;47165.40;
171;4661.38;1.78;178.13;4907.60;
14;2.66;0.65;65.48;2176.00;
29;21.91;0.85;85.22;1372.00;
100;877.40;1.03;103.18;21958.20;
137;1922.18;1.02;101.72;71056.20;
150;3530.87;1.04;103.91;27152.40;
200;7421.28;1.19;119.08;35053.60;
Parowanie = 0.5; Alfa = 3; Beta = 3; Stala = 5; 
5;0.21;0.29;28.57;28.00;
6;0.04;0.00;0.00;0.00;
7;0.47;0.06;5.56;5.00;
8;1.13;0.17;17.39;20.00;
9;2.18;0.43;42.86;45.00;
10;1.13;0.37;36.79;78.00;
11;1.44;0.31;30.77;48.00;
12;1.79;0.20;20.34;36.00;
13;2.20;0.47;46.55;81.00;
5;0.21;0.07;7.50;15.00;
6;0.32;0.03;2.82;10.00;
7;0.47;0.11;11.21;65.00;
8;0.64;0.25;24.86;230.00;
9;0.86;0.05;4.73;65.00;
10;1.11;0.11;10.83;215.00;
11;1.42;0.07;7.39;205.00;
12;2.09;0.07;7.04;265.00;
13;2.16;0.04;3.51;175.00;
17;11.29;0.66;66.23;51.00;
34;30.78;0.23;23.48;302.00;
65;248.36;0.57;56.67;1042.20;
100;1022.83;0.64;63.56;23028.00;
171;5194.28;0.85;84.76;2335.20;
14;2.66;0.29;29.37;976.00;
29;29.15;0.55;54.97;885.00;
100;762.42;0.49;49.05;10438.80;
137;2971.71;0.51;51.13;35715.40;
150;4563.54;0.56;55.94;14618.40;
200;8068.76;0.53;53.41;15722.00;
Parowanie = 0.5; Alfa = 3; Beta = 5; Stala = 5; 
5;0.22;0.03;3.06;3.00;
6;0.33;0.05;5.08;6.00;
7;0.48;0.17;16.67;15.00;
8;1.83;0.04;4.35;5.00;
9;2.20;0.19;19.05;20.00;
10;1.12;0.35;34.91;74.00;
11;1.43;0.22;22.44;35.00;
12;1.80;0.32;31.64;56.00;
13;2.21;0.02;1.72;3.00;
5;0.03;0.00;0.00;0.00;
6;0.33;0.10;9.86;35.00;
7;0.47;0.04;4.31;25.00;
8;0.65;0.05;4.86;45.00;
9;0.95;0.06;5.82;80.00;
10;1.13;0.02;2.27;45.00;
11;1.42;0.07;6.85;190.00;
12;1.77;0.03;2.92;110.00;
13;2.18;0.03;2.91;145.00;
17;8.52;0.48;48.05;37.00;
34;31.31;0.25;25.12;323.00;
65;362.68;0.27;27.00;496.60;
100;760.15;0.32;31.98;11585.00;
171;5326.10;0.45;45.02;1240.20;
14;2.67;0.38;38.34;1274.00;
29;21.94;0.16;16.34;263.00;
100;1161.06;0.27;27.05;5756.40;
137;2749.89;0.30;30.13;21043.60;
150;3362.36;0.30;30.29;7915.00;
200;9056.05;0.29;29.42;8660.40;
Parowanie = 0.5; Alfa = 5; Beta = 2; Stala = 5; 
5;0.21;0.34;33.67;33.00;
6;0.32;0.17;16.95;20.00;
7;0.46;0.50;50.00;45.00;
8;0.63;0.17;17.39;20.00;
9;0.84;0.57;57.14;60.00;
10;1.12;0.98;97.64;207.00;
11;1.44;0.34;33.97;53.00;
12;1.78;0.44;43.50;77.00;
13;2.20;0.39;39.08;68.00;
5;0.21;0.12;12.50;25.00;
6;0.32;0.17;16.90;60.00;
7;0.47;0.09;9.48;55.00;
8;0.66;0.14;13.51;125.00;
9;0.86;0.18;17.82;245.00;
10;1.13;0.05;5.29;105.00;
11;1.42;0.16;15.86;440.00;
12;1.78;0.07;6.64;250.00;
13;2.19;0.15;14.94;745.00;
17;6.95;1.39;138.96;107.00;
34;31.42;1.01;101.32;1303.00;
65;221.88;1.55;155.49;2859.40;
100;957.67;1.66;166.43;60295.80;
171;3952.41;3.12;312.49;8609.20;
14;2.65;0.18;17.60;585.00;
29;19.80;1.18;117.76;1896.00;
100;829.22;1.72;171.90;36583.80;
137;2440.20;2.24;224.16;156584.00;
150;2691.49;1.99;199.06;52015.20;
200;6661.51;2.42;241.67;71140.00;
Parowanie = 0.5; Alfa = 5; Beta = 3; Stala = 5; 
5;0.22;0.15;15.31;15.00;
6;0.33;0.08;8.47;10.00;
7;0.06;0.00;0.00;0.00;
8;1.83;0.09;8.70;10.00;
9;0.23;0.00;0.00;0.00;
10;1.14;0.37;37.26;79.00;
11;1.49;0.02;1.92;3.00;
12;1.95;0.11;10.73;19.00;
13;2.20;0.44;44.25;77.00;
5;0.21;0.12;12.50;25.00;
6;0.32;0.10;9.86;35.00;
7;0.47;0.14;13.79;80.00;
8;0.65;0.09;9.19;85.00;
9;0.87;0.13;12.73;175.00;
10;1.13;0.02;1.51;30.00;
11;1.42;0.04;4.32;120.00;
12;1.76;0.05;4.65;175.00;
13;2.20;0.07;6.52;325.00;
17;7.69;0.27;27.27;21.00;
34;31.25;0.77;76.83;988.00;
65;220.17;1.16;115.65;2126.80;
100;840.93;0.95;95.50;34598.40;
171;4272.53;1.36;135.75;3740.00;
14;2.67;0.37;36.95;1228.00;
29;19.74;0.93;93.48;1505.00;
100;752.47;0.96;96.19;20471.40;
137;2421.20;1.06;106.17;74161.00;
150;2842.18;0.96;95.79;25031.20;
200;5984.88;1.09;109.27;32164.40;
Parowanie = 0.5; Alfa = 5; Beta = 5; Stala = 5; 
5;0.22;0.15;15.31;15.00;
6;0.62;0.09;9.32;11.00;
7;0.48;0.39;38.89;35.00;
8;0.99;0.04;4.35;5.00;
9;0.88;0.19;19.05;20.00;
10;1.15;0.33;32.55;69.00;
11;1.45;0.06;6.41;10.00;
12;1.81;0.03;3.39;6.00;
13;2.23;0.10;10.34;18.00;
5;0.03;0.00;0.00;0.00;
6;0.61;0.03;2.82;10.00;
7;0.47;0.03;3.45;20.00;
8;0.66;0.07;7.03;65.00;
9;0.87;0.08;7.64;105.00;
10;1.12;0.14;13.60;270.00;
11;1.44;0.03;3.24;90.00;
