 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
Parowanie = 0.5; Alfa = 1; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;1.55;0.01;1.28;2.00;
12;1.07;0.00;0.00;0.00;
13;4.54;0.01;0.57;1.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.18;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.90;0.01;1.09;15.00;
10;1.65;0.01;0.76;15.00;
11;1.53;0.01;0.72;20.00;
12;1.92;0.01;1.06;40.00;
13;4.06;0.01;0.70;35.00;
17;9.13;0.06;6.49;5.00;
34;51.83;0.04;3.79;48.80;
65;595.32;0.09;8.84;162.60;
100;1739.00;0.16;15.99;5794.20;
171;8331.49;0.20;20.22;557.00;
14;3.45;0.03;2.65;88.00;
29;43.17;0.07;7.14;115.00;
100;1787.33;0.13;12.57;2674.80;
137;4987.69;0.07;7.38;5158.20;
150;8534.31;0.09;9.40;2455.20;
200;16782.09;0.13;13.22;3892.20;
Parowanie = 0.5; Alfa = 3; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;2.45;0.01;1.28;2.00;
12;2.68;0.04;3.95;7.00;
13;3.06;0.05;4.60;8.00;
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;1.01;0.01;1.08;10.00;
9;0.94;0.01;1.09;15.00;
10;1.45;0.02;1.76;35.00;
11;2.52;0.01;0.90;25.00;
12;2.97;0.01;1.20;45.00;
13;4.34;0.01;0.80;40.00;
17;9.15;0.03;2.60;2.00;
34;53.24;0.04;3.89;50.00;
65;416.33;0.08;8.18;150.40;
100;1684.45;0.11;11.43;4140.20;
171;6457.37;0.25;25.09;691.20;
14;5.05;0.05;5.45;181.00;
29;31.97;0.12;11.86;191.00;
100;1556.00;0.11;11.26;2395.40;
137;4015.31;0.11;11.12;7768.80;
150;5429.08;0.12;11.68;3051.60;
200;13089.32;0.13;13.28;3908.80;
Parowanie = 0.5; Alfa = 3; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;1.71;0.04;4.49;7.00;
12;2.66;0.01;1.13;2.00;
13;2.64;0.02;1.72;3.00;
5;0.07;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
