Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
7;0.15;0.00;0.00;0.00;
8;0.37;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.45;0.01;1.28;2.00;
12;0.55;0.00;0.00;0.00;
13;2.67;0.02;2.30;4.00;
5;0.04;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.86;0.01;1.09;15.00;
10;1.13;0.01;0.76;15.00;
11;1.83;0.01;0.54;15.00;
12;2.82;0.01;1.06;40.00;
13;3.48;0.01;0.70;35.00;
17;8.55;0.27;27.27;21.00;
34;9.23;0.00;0.00;0.00;
65;356.31;0.15;14.55;267.60;
100;1102.14;0.12;12.30;4457.20;
171;5132.02;0.25;24.78;682.80;
14;4.33;0.07;6.56;218.00;
29;21.66;0.12;11.83;190.40;
100;1001.65;0.14;14.22;3026.20;
137;2782.26;0.11;11.18;7807.80;
150;3878.98;0.14;13.83;3614.60;
200;9193.82;0.13;13.00;3827.20;
Parowanie = 0.5; Alfa = 5; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.32;0.05;5.08;6.00;
7;0.05;0.00;0.00;0.00;
8;0.64;0.04;4.35;5.00;
9;0.86;0.19;19.05;20.00;
10;1.15;0.03;3.30;7.00;
11;2.16;0.07;7.05;11.00;
12;2.17;0.09;9.04;16.00;
13;2.45;0.04;4.02;7.00;
5;0.03;0.00;0.00;0.00;
6;0.35;0.03;2.82;10.00;
7;0.51;0.03;2.59;15.00;
8;0.08;0.00;0.00;0.00;
9;0.94;0.01;1.45;20.00;
10;1.24;0.02;2.02;40.00;
11;1.41;0.02;1.62;45.00;
12;2.84;0.01;1.33;50.00;
13;3.04;0.01;0.90;45.00;
17;7.08;0.45;45.45;35.00;
34;37.99;0.06;6.14;79.00;
65;279.07;0.12;11.78;216.60;
100;1137.56;0.12;11.70;4239.00;
171;6249.12;0.31;31.17;858.80;
14;3.75;0.03;2.65;88.00;
29;25.69;0.11;11.07;178.20;
100;1012.91;0.13;13.46;2865.20;
137;2942.18;0.09;9.29;6492.60;
150;3443.36;0.15;14.66;3830.40;
200;8174.58;0.16;15.82;4657.20;
Parowanie = 0.5; Alfa = 5; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.19;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.45;0.02;1.92;3.00;
12;1.81;0.03;3.39;6.00;
13;2.67;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.24;0.00;0.00;0.00;
8;0.78;0.01;1.08;10.00;
9;0.86;0.01;1.09;15.00;
10;1.08;0.01;0.76;15.00;
11;1.82;0.01;0.54;15.00;
12;2.27;0.01;0.93;35.00;
13;2.20;0.01;0.80;40.00;
17;7.73;0.23;23.38;18.00;
34;40.80;0.15;15.40;198.00;
65;267.14;0.14;14.08;259.00;
100;1168.48;0.13;13.07;4734.00;
171;4381.30;0.27;27.49;757.40;
14;2.98;0.05;5.45;181.00;
29;22.04;0.07;6.89;111.00;
100;1097.66;0.13;13.13;2793.80;
137;2977.49;0.12;12.36;8630.60;
150;4026.21;0.12;11.50;3005.20;
200;8065.39;0.16;15.53;4573.00;
Parowanie = 0.5; Alfa = 5; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.48;0.06;5.56;5.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.44;0.02;1.92;3.00;
12;0.18;0.00;0.00;0.00;
13;2.92;0.01;1.15;2.00;
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.65;0.01;1.08;10.00;
9;1.47;0.01;1.45;20.00;
10;1.46;0.01;0.50;10.00;
11;2.58;0.01;1.08;30.00;
12;1.95;0.01;0.66;25.00;
13;3.07;0.01;1.30;65.00;
17;7.12;0.36;36.36;28.00;
34;37.92;0.19;19.05;245.00;
65;301.69;0.13;12.64;232.40;
100;1038.27;0.14;14.08;5101.60;
171;4021.65;0.29;28.60;787.80;
14;3.28;0.03;2.65;88.00;
29;20.77;0.07;7.45;120.00;
100;980.50;0.14;14.25;3033.20;
137;2480.17;0.13;12.57;8777.20;
150;3146.55;0.14;13.67;3571.60;
200;9595.89;0.12;12.22;3596.20;
Parowanie = 0.75; Alfa = 1; Beta = 2; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.38;0.03;3.39;4.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;1.84;0.01;1.28;2.00;
12;0.36;0.00;0.00;0.00;
13;3.67;0.01;1.15;2.00;
5;0.07;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.19;0.00;0.00;0.00;
8;0.82;0.01;1.08;10.00;
9;1.09;0.01;1.45;20.00;
10;1.64;0.02;1.51;30.00;
11;1.91;0.01;0.54;15.00;
12;3.22;0.01;1.20;45.00;
13;5.93;0.00;0.40;20.00;
17;14.51;0.04;3.90;3.00;
34;51.78;0.03;3.42;44.00;
65;425.80;0.09;9.42;173.20;
100;2067.91;0.13;13.13;4755.60;
171;6817.09;0.22;21.79;600.40;
14;3.65;0.03;2.65;88.00;
29;43.01;0.05;4.91;79.00;
100;1766.39;0.10;9.82;2089.20;
137;3933.29;0.11;10.78;7533.00;
150;6071.44;0.13;12.70;3318.40;
200;11903.93;0.14;14.00;4121.00;
Parowanie = 0.75; Alfa = 1; Beta = 3; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.19;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;0.29;0.00;0.00;0.00;
12;2.48;0.00;0.00;0.00;
13;4.33;0.01;0.57;1.00;
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.45;0.00;0.00;0.00;
9;1.34;0.01;1.45;20.00;
10;1.85;0.01;0.76;15.00;
11;2.58;0.01;1.08;30.00;
12;2.07;0.01;0.93;35.00;
13;2.30;0.01;1.28;64.00;
17;10.39;0.06;6.49;5.00;
34;73.18;0.06;5.68;73.00;
65;448.22;0.08;7.92;145.60;
100;1647.42;0.13;12.66;4586.00;
171;5394.42;0.22;21.61;595.40;
14;3.93;0.03;2.65;88.00;
29;39.00;0.06;5.71;92.00;
100;1421.73;0.09;9.32;1984.40;
137;4149.08;0.07;7.05;4926.60;
150;5221.89;0.11;10.82;2827.40;
200;13467.23;0.14;13.86;4081.20;
Parowanie = 0.75; Alfa = 1; Beta = 5; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.09;0.00;0.00;0.00;
10;0.45;0.00;0.00;0.00;
11;1.55;0.02;1.92;3.00;
